Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Biomedical scientist,IT,Decreasing,Moderate,102369.24,High School,6,3473,7146,49.42,0.0,Australia,21.84
"Scientist, forensic",Finance,Increasing,Moderate,98585.91,Master’s Degree,3,9122,2696,81.12,85.44,USA,35.09
"Education officer, environmental",IT,Decreasing,Low,128719.05,Bachelor’s Degree,20,2668,5539,20.84,43.04,UK,75.91
Fine artist,IT,Decreasing,Moderate,115534.42,Master’s Degree,12,7578,2671,12.7,69.54,UK,29.2
Primary school teacher,Healthcare,Decreasing,Moderate,97356.41,Bachelor’s Degree,8,8242,2231,92.09,45.38,India,69.03
Retail buyer,Retail,Decreasing,High,71027.89,High School,12,3658,4589,20.02,71.94,USA,20.19
"Surveyor, commercial/residential",Finance,Increasing,Moderate,96193.61,High School,16,4171,3138,82.27,57.8,Australia,74.21
Statistician,Manufacturing,Increasing,Moderate,86272.44,PhD,6,7999,7827,97.69,88.0,Brazil,66.1
"Surveyor, commercial/residential",Transportation,Decreasing,Low,80788.84,High School,13,6730,5264,57.77,46.77,China,53.42
"Programme researcher, broadcasting/film/video",Healthcare,Decreasing,High,91347.08,High School,12,9851,5610,32.07,10.45,Australia,69.82
"Designer, fashion/clothing",Healthcare,Decreasing,Low,83390.57,High School,11,9369,2754,51.86,16.34,China,43.11
"Development worker, international aid",Entertainment,Increasing,High,58862.79,High School,6,5591,9400,72.34,66.74,USA,45.51
"Engineer, mining",Manufacturing,Increasing,Moderate,111447.88,Master’s Degree,19,3547,4516,60.44,4.13,UK,37.07
Communications engineer,IT,Decreasing,Low,91095.58,Associate Degree,2,7967,1382,14.94,0.0,Brazil,29.05
Cabin crew,Retail,Decreasing,Low,92915.82,Associate Degree,16,1520,7143,21.97,25.82,Australia,22.16
Race relations officer,Entertainment,Increasing,Low,58216.39,High School,4,535,9053,55.99,88.28,China,67.03
"Engineer, electrical",Education,Increasing,High,77195.05,Bachelor’s Degree,1,4369,5248,8.11,26.53,China,73.3
Armed forces training and education officer,Transportation,Increasing,High,64633.85,High School,7,8553,6624,54.46,49.5,Germany,77.09
Research scientist (medical),Retail,Increasing,High,84321.24,Bachelor’s Degree,11,4018,4564,32.63,91.85,Australia,56.57
Risk manager,Entertainment,Decreasing,Moderate,78753.63,High School,20,8002,769,76.05,86.58,India,52.64
Paramedic,Transportation,Increasing,High,67401.06,High School,3,5874,7189,83.62,28.57,India,79.26
Economist,Transportation,Decreasing,Low,82441.28,Bachelor’s Degree,4,6061,2158,10.25,17.55,Germany,76.19
Secretary/administrator,Healthcare,Decreasing,Low,98405.97,Associate Degree,11,1779,1762,18.59,12.04,Brazil,42.04
Television production assistant,Retail,Decreasing,Moderate,78009.97,Bachelor’s Degree,7,6755,4218,48.51,86.56,Brazil,66.07
English as a second language teacher,IT,Decreasing,Moderate,89536.49,Associate Degree,6,833,7485,1.08,60.11,Germany,37.5
Herbalist,IT,Decreasing,Moderate,77146.94,Associate Degree,1,9580,3036,59.63,66.19,USA,30.66
Animator,Transportation,Increasing,Low,88085.48,Master’s Degree,10,8335,969,37.89,69.71,Australia,42.24
Waste management officer,Retail,Increasing,High,71831.22,Associate Degree,8,275,8945,16.36,75.62,UK,50.16
"Designer, jewellery",IT,Increasing,Moderate,106233.34,Bachelor’s Degree,5,1509,5081,23.52,9.23,China,61.04
"Designer, exhibition/display",Finance,Increasing,Moderate,87973.7,Associate Degree,6,4343,2360,38.29,75.73,China,59.69
"Civil engineer, consulting",Entertainment,Increasing,High,108973.09,PhD,18,5673,5977,68.03,0.0,USA,65.89
"Horticulturist, commercial",Transportation,Increasing,Moderate,59307.58,High School,3,1173,5601,16.05,76.05,Canada,35.47
Environmental manager,Finance,Decreasing,High,101517.99,PhD,4,1039,8504,17.93,73.47,India,52.8
"Investment banker, corporate",Manufacturing,Decreasing,Moderate,110804.47,PhD,19,7900,4866,47.89,4.44,UK,24.47
"Conservation officer, historic buildings",IT,Decreasing,High,92774.44,High School,17,1963,8444,6.99,80.53,Canada,73.43
"Designer, jewellery",Retail,Increasing,Moderate,82211.84,High School,19,5694,3346,4.85,56.27,Australia,50.88
Forensic psychologist,Retail,Increasing,High,67331.24,Associate Degree,6,6905,146,23.74,56.73,USA,59.81
Contractor,Retail,Increasing,High,98427.02,Master’s Degree,11,253,2999,11.26,28.36,Canada,55.57
Nature conservation officer,Entertainment,Decreasing,High,80837.71,Bachelor’s Degree,8,4660,6140,50.68,66.11,USA,69.4
Special effects artist,Education,Increasing,Low,58946.92,High School,1,343,9160,57.42,33.37,Brazil,57.89
Armed forces training and education officer,Education,Increasing,Moderate,79551.62,Bachelor’s Degree,5,7007,8790,52.33,62.94,Canada,33.23
IT sales professional,Retail,Decreasing,Low,102425.59,PhD,9,6663,6302,86.31,17.4,USA,53.1
"Surveyor, mining",Retail,Decreasing,Low,94009.48,Master’s Degree,1,2279,1238,25.83,4.3,China,45.73
Administrator,Entertainment,Decreasing,Low,65512.25,Associate Degree,2,9179,7073,85.12,91.65,UK,53.84
Financial risk analyst,Entertainment,Decreasing,High,107977.77,PhD,7,7672,8760,72.55,27.52,China,57.89
"Teacher, special educational needs",Retail,Decreasing,Low,80319.59,Bachelor’s Degree,2,1146,3154,14.18,22.11,Germany,70.9
Clinical psychologist,Education,Increasing,Moderate,76329.15,High School,11,5340,5774,62.64,46.15,Brazil,68.12
Occupational therapist,Education,Decreasing,Low,94360.01,PhD,1,5785,1357,79.02,11.31,UK,61.97
Photographer,Healthcare,Increasing,Low,93076.33,Bachelor’s Degree,2,2852,1931,39.62,6.87,UK,53.58
Comptroller,Transportation,Decreasing,High,67195.2,Bachelor’s Degree,0,8265,1544,30.43,47.31,China,67.89
Broadcast presenter,Healthcare,Increasing,High,109022.74,Master’s Degree,18,4289,5604,87.08,19.33,Canada,74.89
"Investment banker, corporate",Manufacturing,Decreasing,Moderate,62987.15,Associate Degree,0,4884,9886,92.57,75.12,India,45.61
Banker,Healthcare,Decreasing,Low,67373.96,High School,1,4140,7378,75.51,61.32,Canada,35.15
"Teacher, special educational needs",IT,Increasing,Low,123733.8,PhD,7,7951,269,3.25,34.97,UK,67.1
Garment/textile technologist,Manufacturing,Increasing,High,101641.56,Associate Degree,19,8436,7369,80.26,3.4,Germany,36.49
Therapeutic radiographer,Finance,Decreasing,High,114240.11,High School,20,851,3474,70.26,18.5,Canada,69.6
Publishing copy,Healthcare,Increasing,High,95109.85,PhD,3,6979,9555,77.2,39.61,India,42.25
Volunteer coordinator,Education,Increasing,High,95008.08,Bachelor’s Degree,18,4912,2895,16.1,69.17,India,21.95
"Surveyor, hydrographic",Entertainment,Increasing,High,110124.27,Bachelor’s Degree,17,8719,271,0.77,14.48,Canada,33.95
Herpetologist,Education,Increasing,Low,101498.96,Associate Degree,18,5828,3627,69.95,0.0,Germany,23.96
"Engineer, control and instrumentation",Entertainment,Increasing,Moderate,76067.59,Bachelor’s Degree,6,9753,6166,79.12,69.09,USA,79.63
Media planner,Retail,Decreasing,Moderate,106191.35,Master’s Degree,11,2711,7978,29.33,7.9,USA,53.99
Forest/woodland manager,IT,Increasing,Moderate,101402.57,Associate Degree,3,8303,7796,4.89,0.0,Brazil,56.29
Horticultural therapist,Healthcare,Decreasing,Low,79059.99,High School,3,2359,5577,22.56,12.67,Germany,57.11
Counselling psychologist,Entertainment,Decreasing,Low,107334.85,PhD,8,9467,3429,57.18,51.37,Australia,33.2
Quarry manager,Healthcare,Decreasing,Moderate,85901.03,Bachelor’s Degree,5,788,1920,46.72,63.49,China,76.33
Hydrogeologist,Finance,Increasing,Low,112959.98,High School,18,396,3322,46.98,15.71,Brazil,32.53
"Designer, blown glass/stained glass",Retail,Increasing,Low,74003.11,Bachelor’s Degree,10,4207,8276,9.48,88.69,India,60.38
Politician's assistant,Education,Decreasing,Low,100420.16,Bachelor’s Degree,13,8488,2705,0.65,0.0,UK,54.77
Probation officer,Healthcare,Increasing,Low,77979.84,Bachelor’s Degree,9,4834,8759,49.95,89.63,China,74.45
"Scientist, physiological",Healthcare,Increasing,Moderate,111773.56,PhD,3,4190,2905,78.82,0.0,UK,52.76
"Therapist, sports",Manufacturing,Decreasing,High,75527.39,High School,3,4722,7527,55.01,11.52,UK,52.0
Hydrogeologist,Entertainment,Decreasing,Low,109804.61,PhD,13,2906,8576,16.98,38.27,Australia,39.54
Waste management officer,IT,Increasing,High,126838.48,PhD,18,3061,6414,89.39,79.0,USA,40.02
Chartered accountant,Transportation,Increasing,Moderate,88474.43,Master’s Degree,7,7763,2683,66.87,47.15,Australia,25.48
"Engineer, control and instrumentation",Finance,Increasing,High,128704.65,PhD,9,185,2665,34.68,14.92,India,36.88
Newspaper journalist,Manufacturing,Decreasing,Low,90028.63,High School,15,485,8982,97.95,29.23,UK,71.63
Seismic interpreter,Entertainment,Decreasing,Moderate,101765.4,Bachelor’s Degree,11,8583,3356,7.96,12.09,Brazil,28.47
Structural engineer,Retail,Increasing,Low,61237.05,High School,3,3754,5794,17.53,16.88,India,74.09
Prison officer,Finance,Increasing,High,122409.89,Master’s Degree,12,531,7743,57.74,0.0,Brazil,59.25
Chartered legal executive (England and Wales),Manufacturing,Increasing,High,112840.46,Bachelor’s Degree,19,1068,2962,58.94,24.29,China,29.19
Mudlogger,Entertainment,Increasing,High,89197.53,Bachelor’s Degree,10,3400,6788,23.63,35.05,Australia,32.78
Field trials officer,Transportation,Increasing,Low,107212.44,Master’s Degree,14,9437,950,63.68,40.13,China,68.51
Geophysical data processor,Healthcare,Increasing,Moderate,59449.79,High School,0,5343,7995,93.76,76.63,Australia,27.42
Bonds trader,Education,Decreasing,Low,96760.74,Associate Degree,15,5136,6972,4.46,40.87,India,50.1
"Engineer, automotive",Finance,Increasing,Moderate,100975.95,PhD,1,5937,1653,23.2,62.74,Australia,28.57
Child psychotherapist,Entertainment,Increasing,Low,93214.06,Master’s Degree,11,5647,6081,67.15,78.71,USA,76.78
"Therapist, music",Manufacturing,Increasing,Moderate,100620.66,Bachelor’s Degree,11,9985,4260,3.94,37.6,India,59.92
Environmental consultant,Finance,Decreasing,Low,96021.89,High School,5,725,7959,22.41,5.88,Germany,65.17
Dancer,Manufacturing,Decreasing,Low,87864.62,Associate Degree,13,9209,9616,92.37,36.3,UK,69.79
"Therapist, music",Education,Increasing,Moderate,114980.14,Master’s Degree,19,4920,5212,39.2,38.1,Australia,75.78
Site engineer,Retail,Increasing,High,84264.38,Associate Degree,13,2059,6477,23.83,52.62,Australia,32.84
Barrister,Manufacturing,Decreasing,Low,86584.17,High School,17,4003,2871,97.43,59.37,Canada,41.29
Legal executive,Finance,Increasing,Moderate,107055.22,PhD,6,3718,2020,26.32,75.15,Germany,23.76
Prison officer,Entertainment,Increasing,Moderate,94957.85,Master’s Degree,1,2552,6524,61.6,26.67,India,60.58
Science writer,Finance,Decreasing,Low,108564.61,Bachelor’s Degree,11,5978,2429,15.78,60.2,Germany,51.46
Airline pilot,Finance,Decreasing,Low,149385.15,PhD,19,8154,6122,97.89,17.54,Australia,39.54
Social researcher,Finance,Decreasing,High,112758.65,Master’s Degree,12,6995,2206,23.4,38.97,China,44.14
Bonds trader,Transportation,Decreasing,High,79168.59,Master’s Degree,3,1554,891,56.58,39.1,China,53.78
"Therapist, occupational",Manufacturing,Increasing,Moderate,112036.72,PhD,18,5578,8049,58.18,37.29,USA,32.58
Structural engineer,Manufacturing,Increasing,High,107109.76,Associate Degree,18,3123,1129,23.33,28.17,Canada,76.81
Lobbyist,Finance,Decreasing,Moderate,83227.68,Associate Degree,3,678,1527,71.21,72.54,India,27.45
Museum/gallery conservator,Retail,Decreasing,Moderate,112756.03,Master’s Degree,18,5704,8874,25.17,0.0,Canada,29.37
Surgeon,Retail,Decreasing,Moderate,64638.08,Associate Degree,3,5875,2836,67.36,83.05,Germany,32.92
"Teacher, music",Transportation,Increasing,High,100806.43,Master’s Degree,14,4289,5599,65.31,32.82,UK,26.38
"Scientist, research (physical sciences)",Manufacturing,Increasing,Low,93371.58,Master’s Degree,14,6289,9282,35.22,76.68,Brazil,54.52
Minerals surveyor,Finance,Increasing,Moderate,132325.68,Bachelor’s Degree,19,466,4674,50.6,7.37,India,28.86
"Investment banker, operational",Healthcare,Decreasing,Moderate,87954.1,High School,7,3000,5313,28.38,19.92,Germany,63.29
Immigration officer,Transportation,Increasing,Moderate,65069.05,High School,15,2636,7845,68.52,87.64,UK,25.72
Dentist,Finance,Decreasing,Low,109860.66,Bachelor’s Degree,5,518,8671,41.03,35.87,USA,21.52
"Nurse, learning disability",IT,Increasing,Moderate,120262.71,Bachelor’s Degree,12,5570,1718,52.56,40.97,Brazil,64.64
Actuary,IT,Increasing,Moderate,114409.54,Bachelor’s Degree,11,4479,9547,78.52,43.79,India,52.88
Building control surveyor,Manufacturing,Increasing,High,89699.71,High School,16,7674,3429,80.25,8.95,India,29.81
Sports administrator,Healthcare,Decreasing,High,104172.14,High School,20,2587,4756,14.45,19.63,UK,34.62
Research scientist (medical),Healthcare,Decreasing,Moderate,76157.26,Associate Degree,7,6622,1328,57.38,92.33,UK,71.29
Associate Professor,Finance,Decreasing,High,109841.01,Master’s Degree,13,3566,1535,15.06,52.3,Germany,38.67
"Designer, multimedia",Entertainment,Decreasing,Moderate,94667.51,PhD,4,4985,9377,22.57,53.93,Brazil,55.39
Senior tax professional/tax inspector,Entertainment,Increasing,Low,94394.55,Master’s Degree,2,5778,3617,44.18,31.95,China,65.66
Health and safety adviser,Finance,Increasing,High,110799.4,Bachelor’s Degree,13,1825,3855,77.06,17.92,Brazil,54.9
Water quality scientist,Manufacturing,Increasing,Low,78760.7,High School,13,3607,4846,85.86,68.79,Australia,46.97
Dentist,Education,Decreasing,Low,74261.86,High School,12,4572,5765,69.03,78.61,USA,76.23
Town planner,Entertainment,Decreasing,Moderate,88876.87,Associate Degree,16,237,563,41.74,53.67,India,20.56
Legal secretary,Entertainment,Increasing,High,105761.87,Bachelor’s Degree,19,7428,2843,49.85,28.35,Canada,25.96
"Embryologist, clinical",Healthcare,Decreasing,High,87355.52,Master’s Degree,9,4601,9488,48.84,50.23,USA,60.95
Database administrator,Retail,Decreasing,Moderate,89797.39,Bachelor’s Degree,8,7566,6341,57.02,40.81,Canada,50.53
"Exhibitions officer, museum/gallery",Manufacturing,Increasing,High,85588.9,Associate Degree,12,6194,8004,79.99,80.39,India,79.12
"Restaurant manager, fast food",Finance,Increasing,High,103544.65,Bachelor’s Degree,17,2006,4020,4.8,63.52,Canada,42.8
Counselling psychologist,Entertainment,Decreasing,High,89783.2,Associate Degree,15,4296,507,8.68,57.19,Brazil,61.7
Clinical psychologist,Finance,Decreasing,Moderate,115087.51,Associate Degree,11,6023,5456,58.53,30.33,USA,70.1
"Programme researcher, broadcasting/film/video",Manufacturing,Decreasing,Low,63987.89,High School,6,5712,9325,29.61,64.48,UK,23.32
Textile designer,IT,Decreasing,Moderate,114821.41,Bachelor’s Degree,18,2088,564,18.94,60.32,Canada,30.06
Comptroller,Education,Increasing,Moderate,98646.41,Master’s Degree,16,1377,1207,67.74,52.12,China,71.16
"Engineer, chemical",Retail,Increasing,Low,74961.1,Associate Degree,6,5843,6653,95.69,63.65,Germany,77.29
Armed forces training and education officer,Transportation,Decreasing,Low,92601.03,Bachelor’s Degree,10,7208,8841,54.75,0.0,UK,22.0
Outdoor activities/education manager,Manufacturing,Decreasing,Moderate,92744.6,Master’s Degree,4,2218,7608,23.31,0.0,Brazil,34.69
Recycling officer,Manufacturing,Increasing,High,74677.13,High School,10,7303,2982,43.56,83.98,Brazil,45.38
Barista,Finance,Increasing,High,73506.85,High School,3,8332,9581,64.83,63.76,China,23.9
Risk manager,Retail,Increasing,Low,86696.14,Bachelor’s Degree,9,8362,8243,52.2,10.46,Brazil,35.04
Estate agent,Healthcare,Decreasing,Low,64395.98,High School,6,7256,1864,99.13,92.53,Germany,31.94
Retail banker,Manufacturing,Decreasing,Low,104413.6,PhD,10,1982,1662,76.29,53.93,UK,57.19
Insurance claims handler,Entertainment,Increasing,Moderate,111202.99,Bachelor’s Degree,19,120,8292,55.19,1.66,India,49.08
Animal nutritionist,Finance,Decreasing,Moderate,76612.22,High School,2,2645,3963,19.96,81.35,UK,64.1
Public librarian,Retail,Increasing,High,104876.67,Master’s Degree,14,4953,9712,36.16,0.0,India,74.86
Technical sales engineer,Education,Increasing,High,91410.8,High School,17,6569,4642,61.99,0.0,USA,54.31
"Engineer, electronics",Entertainment,Decreasing,Moderate,94735.3,Master’s Degree,3,4859,9544,66.4,26.83,Australia,57.97
Comptroller,Manufacturing,Increasing,Low,81951.88,High School,12,6339,3984,28.77,54.03,Germany,74.93
Claims inspector/assessor,Entertainment,Decreasing,Moderate,96793.29,Master’s Degree,9,6103,8037,19.22,59.58,Germany,48.03
"Engineer, production",Healthcare,Decreasing,High,108881.65,Bachelor’s Degree,18,2960,7059,63.96,8.73,China,55.93
Phytotherapist,Transportation,Increasing,Low,80465.62,Associate Degree,15,3082,2905,90.42,77.52,Australia,24.29
Armed forces logistics/support/administrative officer,Education,Decreasing,High,93815.55,High School,18,9048,2569,84.1,30.39,Canada,44.5
Advertising account planner,Entertainment,Increasing,High,111421.13,PhD,14,8978,5932,72.04,14.93,China,37.18
Field seismologist,Finance,Decreasing,Low,115784.57,High School,18,5621,7500,57.45,25.57,India,64.84
Data processing manager,IT,Increasing,Moderate,106676.33,Associate Degree,8,8573,7379,50.22,11.47,India,69.69
Broadcast presenter,IT,Decreasing,High,93976.62,Associate Degree,7,5545,4079,65.1,68.11,USA,27.15
Chartered certified accountant,Transportation,Decreasing,Low,73595.34,Bachelor’s Degree,0,4552,1545,96.91,21.64,Australia,63.86
Economist,Finance,Decreasing,High,105957.8,PhD,0,5605,8581,36.87,50.65,India,48.26
Public relations account executive,Retail,Decreasing,Moderate,61685.67,High School,8,2333,9998,38.08,78.36,India,42.04
Trading standards officer,Finance,Decreasing,Moderate,111575.95,Master’s Degree,14,9215,4615,86.04,86.96,Brazil,56.3
Medical illustrator,Retail,Increasing,High,88006.37,PhD,3,5422,7271,87.8,69.23,Australia,24.77
Market researcher,Transportation,Increasing,High,89116.79,Associate Degree,14,6173,2679,4.25,23.39,USA,37.3
Sports therapist,Retail,Increasing,Moderate,109066.74,PhD,14,2360,3005,26.29,27.02,Australia,47.38
Physiological scientist,Finance,Increasing,Low,103554.17,PhD,2,5008,4510,26.93,69.46,Brazil,29.43
Graphic designer,Entertainment,Increasing,Moderate,71848.89,Associate Degree,8,5901,6181,24.96,74.84,UK,22.76
Farm manager,Healthcare,Increasing,Moderate,98227.4,Master’s Degree,5,5312,8009,57.77,2.29,UK,61.86
"Engineer, building services",Finance,Decreasing,Moderate,131565.91,PhD,13,9916,4315,75.11,42.73,India,22.1
Medical technical officer,Education,Decreasing,High,84562.52,Bachelor’s Degree,2,5060,3629,47.72,2.77,Brazil,30.32
Site engineer,Entertainment,Decreasing,Low,100752.79,PhD,6,5516,3862,41.01,42.25,India,24.74
Electronics engineer,Transportation,Decreasing,Low,85108.06,Associate Degree,7,3974,4859,41.68,11.52,UK,77.68
Community pharmacist,Entertainment,Decreasing,High,79574.19,Bachelor’s Degree,9,9658,4846,99.63,87.18,UK,43.59
